# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
634 1.585000 0.999999971557
635 1.587500 1.000000014734
636 1.590000 1.000000057244
637 1.592500 1.000000098507
638 1.595000 1.000000137946
639 1.597500 1.000000174988
640 1.600000 1.000000209071
641 1.602500 1.000000239655
642 1.605000 1.000000266231
643 1.607500 1.000000288332
644 1.610000 1.000000305544
645 1.612500 1.000000317508
646 1.615000 1.000000323909
647 1.617500 1.000000324504
648 1.620000 1.000000319119
649 1.622500 1.000000307649
650 1.625000 1.000000290057
651 1.627500 1.000000266392
652 1.630000 1.000000236787
653 1.632500 1.000000201452
654 1.635000 1.000000160673
655 1.637500 1.000000114806
656 1.640000 1.000000064284
657 1.642500 1.000000009604
658 1.645000 0.999999951333
659 1.647500 0.999999890108
660 1.650000 0.999999826626
661 1.652500 0.999999761630
662 1.655000 0.999999695905
663 1.657500 0.999999630283
664 1.660000 0.999999565627
665 1.662500 0.999999502809
666 1.665000 0.999999442711
667 1.667500 0.999999386213
668 1.670000 0.999999334180
669 1.672500 0.999999287447
670 1.675000 0.999999246794
671 1.677500 0.999999212931
672 1.680000 0.999999186484
673 1.682500 0.999999167981
674 1.685000 0.999999157835
675 1.687500 0.999999156351
676 1.690000 0.999999163723
677 1.692500 0.999999180032
678 1.695000 0.999999205236
679 1.697500 0.999999239178
680 1.700000 0.999999281588
681 1.702500 0.999999332088
682 1.705000 0.999999390190
683 1.707500 0.999999455303
684 1.710000 0.999999526748
685 1.712500 0.999999603763
686 1.715000 0.999999685520
687 1.717500 0.999999771127
688 1.720000 0.999999859638
689 1.722500 0.999999950061
690 1.725000 1.000000041376
691 1.727500 1.000000132562
692 1.730000 1.000000222603
693 1.732500 1.000000310493
694 1.735000 1.000000395244
695 1.737500 1.000000475903
696 1.740000 1.000000551568
697 1.742500 1.000000621400
698 1.745000 1.000000684655
699 1.747500 1.000000740693
700 1.750000 1.000000788983
701 1.752500 1.000000829100
702 1.755000 1.000000860742
703 1.757500 1.000000883735
704 1.760000 1.000000898031
705 1.762500 1.000000903702
706 1.765000 1.000000900943
707 1.767500 1.000000890063
708 1.770000 1.000000871481
709 1.772500 1.000000845717
710 1.775000 1.000000813400
711 1.777500 1.000000775257
712 1.780000 1.000000732095
713 1.782500 1.000000684788
714 1.785000 1.000000634271
715 1.787500 1.000000581523
716 1.790000 1.000000527555
717 1.792500 1.000000473392
718 1.795000 1.000000420063
719 1.797500 1.000000368575
720 1.800000 1.000000319897
721 1.802500 1.000000274933
722 1.805000 1.000000234525
723 1.807500 1.000000199437
724 1.810000 1.000000170344
725 1.812500 1.000000147797
726 1.815000 1.000000132230
727 1.817500 1.000000123953
728 1.820000 1.000000123122
